<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;1;29/04/21;105200;3598.1700000;3598.2700000;3597.1800000;3598.0100000;191168778
IMOEX;1;29/04/21;105300;3598.2400000;3598.2400000;3597.1900000;3598.0400000;213715510
IMOEX;1;29/04/21;105400;3598.1500000;3598.7800000;3598.1500000;3598.7800000;144435976
IMOEX;1;29/04/21;105500;3598.8000000;3598.8300000;3598.1500000;3598.6000000;192156457
IMOEX;1;29/04/21;105600;3598.5600000;3599.3500000;3598.5600000;3598.6000000;220716582
IMOEX;1;29/04/21;105700;3598.5700000;3599.4800000;3598.1400000;3599.3000000;179311939
IMOEX;1;29/04/21;105800;3599.6400000;3599.6400000;3598.2100000;3598.5300000;330989388
IMOEX;1;29/04/21;105900;3598.5800000;3598.7400000;3598.1700000;3598.7400000;156431622
IMOEX;1;29/04/21;110000;3598.6900000;3598.7800000;3598.1700000;3598.6900000;130489390
IMOEX;1;29/04/21;110100;3598.9500000;3601.9100000;3598.9500000;3601.6200000;389537846
IMOEX;1;29/04/21;110200;3601.3800000;3601.5000000;3600.8900000;3601.5000000;293149632
IMOEX;1;29/04/21;110300;3601.1200000;3601.5700000;3600.6100000;3601.0300000;194499486
IMOEX;1;29/04/21;110400;3601.6000000;3601.6000000;3599.7500000;3599.9100000;329195467
IMOEX;1;29/04/21;110500;3599.6500000;3600.1000000;3597.9000000;3598.2400000;244925636
IMOEX;1;29/04/21;110600;3598.0000000;3599.2000000;3597.8500000;3599.1200000;161651774
IMOEX;1;29/04/21;110700;3599.2500000;3599.6400000;3599.0400000;3599.6200000;205830260
IMOEX;1;29/04/21;110800;3600.0200000;3600.2900000;3598.6100000;3598.9600000;204926611
IMOEX;1;29/04/21;110900;3598.8500000;3598.8500000;3597.5100000;3598.4400000;116660797
IMOEX;1;29/04/21;111000;3598.1200000;3598.2000000;3596.8800000;3597.7100000;133483407
IMOEX;1;29/04/21;111100;3597.6000000;3599.0500000;3597.6000000;3599.0500000;169096241
IMOEX;1;29/04/21;111200;3599.2100000;3599.9300000;3598.8900000;3599.6800000;160625099
IMOEX;1;29/04/21;111300;3599.9400000;3600.8400000;3599.9400000;3600.6800000;166662847
IMOEX;1;29/04/21;111400;3600.2600000;3600.8600000;3600.0600000;3600.8600000;162462434
IMOEX;1;29/04/21;111500;3600.6200000;3601.8800000;3599.2600000;3599.2600000;334083465
IMOEX;1;29/04/21;111600;3599.5300000;3600.1400000;3599.5300000;3599.7600000;112468754
IMOEX;1;29/04/21;111700;3599.5700000;3600.1200000;3599.2900000;3600.0900000;119935353
IMOEX;1;29/04/21;111800;3600.3000000;3600.4300000;3599.3900000;3599.3900000;292769139
IMOEX;1;29/04/21;111900;3599.4400000;3599.5000000;3598.5900000;3598.8900000;139769271
IMOEX;1;29/04/21;112000;3599.1600000;3599.1600000;3598.0300000;3598.0800000;126074326
IMOEX;1;29/04/21;112100;3597.8600000;3598.0100000;3596.8700000;3597.0100000;206286731
IMOEX;1;29/04/21;112200;3596.8200000;3596.8200000;3595.7600000;3595.7900000;410861724
IMOEX;1;29/04/21;112300;3595.9400000;3596.2600000;3595.2800000;3596.2600000;171958435
IMOEX;1;29/04/21;112400;3595.9900000;3596.2000000;3595.3700000;3596.2000000;151133061
IMOEX;1;29/04/21;112500;3596.2100000;3597.7100000;3596.1200000;3597.3500000;150486010
IMOEX;1;29/04/21;112600;3596.8800000;3596.8800000;3595.8000000;3596.4500000;190672694
IMOEX;1;29/04/21;112700;3596.8300000;3596.8300000;3596.4200000;3596.6200000;78323880
IMOEX;1;29/04/21;112800;3596.6000000;3596.6000000;3595.8400000;3595.8400000;138553403
IMOEX;1;29/04/21;112900;3596.0600000;3596.7900000;3595.9400000;3596.7900000;90621953
IMOEX;1;29/04/21;113000;3597.0000000;3597.0600000;3595.0400000;3595.1300000;636064339
IMOEX;1;29/04/21;113100;3594.9500000;3594.9500000;3594.2000000;3594.5100000;189785379
IMOEX;1;29/04/21;113200;3594.1000000;3595.6500000;3594.1000000;3595.6500000;196244595
IMOEX;1;29/04/21;113300;3596.0000000;3596.7700000;3596.0000000;3596.7700000;205275369
IMOEX;1;29/04/21;113400;3596.9200000;3596.9800000;3595.4500000;3595.5900000;157447815
IMOEX;1;29/04/21;113500;3595.7500000;3596.1100000;3595.3200000;3596.1100000;99799577
IMOEX;1;29/04/21;113600;3596.2100000;3596.9600000;3596.0600000;3596.9600000;111874253
IMOEX;1;29/04/21;113700;3596.8000000;3597.0800000;3595.5300000;3595.5300000;127959313
IMOEX;1;29/04/21;113800;3595.9200000;3596.4300000;3595.5300000;3595.5300000;128544111
IMOEX;1;29/04/21;113900;3595.6500000;3596.3400000;3595.3800000;3596.3400000;114793397
IMOEX;1;29/04/21;114000;3596.6600000;3597.1000000;3596.4400000;3596.9100000;138501444
IMOEX;1;29/04/21;114100;3596.9800000;3597.0100000;3593.0900000;3593.0900000;265785768
IMOEX;1;29/04/21;114200;3593.1500000;3593.5600000;3592.7400000;3593.0500000;99959694
IMOEX;1;29/04/21;114300;3593.2600000;3593.2600000;3590.9300000;3591.5500000;233190004
IMOEX;1;29/04/21;114400;3591.7500000;3592.3400000;3591.3100000;3591.4000000;144683599
IMOEX;1;29/04/21;114500;3591.3000000;3591.3000000;3590.5300000;3590.7200000;111554667
IMOEX;1;29/04/21;114600;3591.1200000;3592.1300000;3591.1200000;3591.6300000;129586120
