<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NLMK;1;27/04/21;192800;271.6800000
NLMK;1;27/04/21;192900;271.5600000
NLMK;1;27/04/21;193000;271.5600000
NLMK;1;27/04/21;193100;271.4600000
NLMK;1;27/04/21;193200;271.4800000
NLMK;1;27/04/21;193300;271.4600000
NLMK;1;27/04/21;193400;271.4200000
NLMK;1;27/04/21;193500;271.5800000
NLMK;1;27/04/21;193600;271.5000000
NLMK;1;27/04/21;193700;271.4600000
NLMK;1;27/04/21;193800;271.6000000
NLMK;1;27/04/21;193900;271.4400000
NLMK;1;27/04/21;194000;271.7400000
NLMK;1;27/04/21;194100;271.5800000
NLMK;1;27/04/21;194200;271.5800000
NLMK;1;27/04/21;194300;271.7400000
NLMK;1;27/04/21;194400;271.6400000
NLMK;1;27/04/21;194500;271.7000000
NLMK;1;27/04/21;194600;271.4000000
NLMK;1;27/04/21;194700;271.5800000
NLMK;1;27/04/21;194800;271.4000000
NLMK;1;27/04/21;194900;271.5600000
NLMK;1;27/04/21;195000;271.5600000
NLMK;1;27/04/21;195100;271.4800000
NLMK;1;27/04/21;195200;271.5800000
NLMK;1;27/04/21;195300;271.5800000
NLMK;1;27/04/21;195400;271.5800000
NLMK;1;27/04/21;195500;271.4400000
NLMK;1;27/04/21;195600;271.5000000
NLMK;1;27/04/21;195700;271.4800000
NLMK;1;27/04/21;195800;271.4600000
NLMK;1;27/04/21;195900;271.5600000
NLMK;1;27/04/21;200000;271.5600000
NLMK;1;27/04/21;200100;271.4800000
NLMK;1;27/04/21;200200;271.5800000
NLMK;1;27/04/21;200300;271.6200000
NLMK;1;27/04/21;200400;271.6200000
NLMK;1;27/04/21;200500;271.6000000
NLMK;1;27/04/21;200600;271.7400000
NLMK;1;27/04/21;200700;271.7400000
NLMK;1;27/04/21;200800;271.7800000
NLMK;1;27/04/21;200900;271.7800000
NLMK;1;27/04/21;201000;271.7400000
NLMK;1;27/04/21;201100;271.9400000
NLMK;1;27/04/21;201200;271.9400000
NLMK;1;27/04/21;201300;272.0200000
NLMK;1;27/04/21;201400;272.1400000
NLMK;1;27/04/21;201500;272.2000000
NLMK;1;27/04/21;201600;272.1800000
NLMK;1;27/04/21;201700;272.0000000
NLMK;1;27/04/21;201800;272.1400000
NLMK;1;27/04/21;201900;272.1600000
NLMK;1;27/04/21;202000;272.0400000
NLMK;1;27/04/21;202100;272.0600000
NLMK;1;27/04/21;202200;272.0600000
NLMK;1;27/04/21;202300;271.9200000
NLMK;1;27/04/21;202400;271.9000000
NLMK;1;27/04/21;202500;271.8800000
NLMK;1;27/04/21;202600;271.7600000
